Variable,Standard_P,Ridge_P,ElasticNet_P,Standard_Coef,Ridge_Coef,ElasticNet_Coef,Reduced_P,Reduced_Coef
RECNENHUM,4.411430719451356e-05,4.9102042030312924e-05,5.0942740278528454e-05,-2.4338086898031612,-2.393140098800477,-2.3908267210490077,3.068960481874963e-05,-2.367617623738245
RADIO,0.0012039092835192194,0.001521154699286002,0.001575773169083391,-2.473077828627856,-2.3966643940551844,-2.396801964529501,0.0012550436952143424,-2.3243875803661935
CIRURGIA,0.0013120171927025396,0.001540352671614958,0.001609476846421634,-2.6574074159671603,-2.569204319451562,-2.5689206118046966,0.0018884748107179663,-2.4580534287244507
IDADE,0.007712596119437063,0.007863812574858617,0.008176415653287101,0.06931902855121393,0.06850728960648618,0.06826046951913373,0.010266228503552438,0.060257908218107774
OUTROS_TRATAMENTOS,0.011930879832894451,0.01225194375574544,0.012431715773910805,2.263400917636906,2.2405665610964216,2.2391007465659385,0.003081754674894973,2.371568501105304
TRATCONS,0.2954086720761269,0.30206475809699085,0.3099461443331201,0.002949568307450246,0.002878892932558219,0.0028420190922616513,,
SUS,0.3792548628661059,0.3887148713426989,0.3942267985711577,-1.1606057106727727,-1.1033711651701716,-1.089672206337833,,
DIAGTRAT,0.396472661395727,0.40401556981603803,0.4112464978582042,-0.0006662081163067902,-0.0006502052162872037,-0.0006407269774153611,,
PARTICULAR,0.40335246994615537,0.4101463507291353,0.4158252521271134,0.9658817172642198,0.9461774553925758,0.9386213567572321,,
SEXO,0.5242218586053964,0.5464850313200763,0.5573651393634516,0.7205931895407884,0.6771770386146638,0.6627377812032523,,
